NomProduits;Année;Mois;QuantitéCommandé;MontantCommandé
Febrilex junior;2023;9;10;10?350
Fludol gï¿½lules b/10x10;2023;8;30;10?350
Tensoplast 6HB/2.5m;2023;6;25;10?375
Cipromed B/10 cp;2023;4;10;10?380
Wormin 500mg cp B/1;2023;6;30;10?380
Wormin 500mg cp B/1;2023;5;30;10?380
Gastrogel sp FL/250ml;2023;1;12;10?392
Febrilex junior;2023;6;10;10?420
Gastrogel cp B/40 sans sucre;2023;6;15;10?440
Vit b denk  b1/00 detail;2023;3;20;10?440
Pectogen sirop;2023;9;10;10?450
Phartrim ad 400mg/80mg cp b/20;2023;2;17;10?450
Conasec crï¿½me;2023;4;14;10?466
Malva 200mg cp b/10;2023;1;10;10?486
Haleflu sachet b/10;2023;7;10;10?490
Febrilex junior;2023;4;10;10?500
Bilor 10mg cp b/10;2023;4;12;10?504
Gastrogel cp B/40 sans sucre;2023;4;15;10?510
Vit b denk  b1/00 detail;2023;9;20;10?520
Skilax gtte buv FL/15ml;2023;6;10;10?530
Skilax gtte buv FL/15ml;2023;3;10;10?530
Genset sp;2023;3;15;10?540
Skilax gtte buv FL/15ml;2023;8;10;10?540
Roipar plus cp effe b/16;2023;9;10;10?550
Nidazol 500mg cp B/20;2023;6;10;10?600
Perispam cp bte 10;2023;5;10;10?600
Pinkoo sp Fl/120ml;2023;6;12;10?601
Pinkoo sp Fl/120ml;2023;7;12;10?603
Dipara B/10 cp;2023;9;25;10?645
Caille300Lait brun cp B/30;2023;5;10;10?650
Tensoplast 6HB/2.5m;2023;7;25;10?650
Verex sirop;2023;5;15;10?670
Physiodose serum 5ml/15;2023;3;15;10?700
Salvatis poudre;2023;7;10;10?730
Salvatis poudre;2023;5;10;10?750
Vovgel;2023;9;17;10?764
Serum sale isotonique PNA;2023;5;20;10?780
Serum sale isotonique PNA;2023;4;20;10?780
Locapred creme T/15gr;2023;1;10;10?795
Salvatis poudre;2023;1;10;10?820
Fludol DM sp;2023;6;10;10?830
Aureomycine vald 3% derm T/15g;2023;7;32;10?836
Neutrocold cp etui/4 b/25;2023;4;70;10?850
Juvamine mono 3C cp eff b/15;2023;6;10;10?870
Talodol Pcp 37.5/325mg cp b/10;2023;1;19;10?892
Metformin denk 500mg BL/3x10;2023;5;16;10?893
Ciprofloxacine 750 cp UBI b/10x10;2023;9;20;10?920
Cerulyse gtte aur ;2023;9;15;10?926
Vogalene 5mg suppo B/10;2023;3;15;10?930
Phenergan 25mg cp B/20;2023;4;25;10?965
Phenergan 25mg cp B/20;2023;3;25;10?985
Collyre bleue laiter faible cy;2023;1;10;10?990
Sportie longue durï¿½e b/48;2023;1;22;11?000
Dolex 50 cp;2023;2;10;11?005
Laroscorbine 1g cp eff b/10;2023;2;10;11?015
Terpara 1000 cp ;2023;8;14;11?030
Flucogen 500mg;2023;3;10;11?060
Flucogen 500mg;2023;8;10;11?080
Dynapar SR 100 cp b/10x10;2023;7;30;11?100
Gastrogel cp B/40 sans sucre;2023;7;16;11?136
Raldol cp;2023;4;15;11?175
Imox 500mg cp;2023;7;9;11?182
Spasmotroy 40 cp;2023;7;13;11?188
Dynapar SR 100 cp b/10x10;2023;8;30;11?190
Babysoin B/20 unidose;2023;1;12;11?195
Paracetamol  ubigen /100x10;2023;6;200;11?200
Frakidex pde opht T/15g;2023;6;15;11?205
Zyloric 100mg cpr b/28;2023;1;10;11?212
Sporalim lotion FL/30ml;2023;9;10;11?220
Terpone sp Ad Fl/180ml;2023;4;10;11?220
Fludol gï¿½lules b/10x10;2023;9;32;11?228
Genforte sp;2023;2;14;11?242
FEmifer sp 200ml;2023;9;15;11?260
Sporalim lotion FL/30ml;2023;6;10;11?270
Sporalim lotion FL/30ml;2023;7;10;11?270
Sporalim lotion FL/30ml;2023;5;10;11?280
Apramol 500mg cp eff B/16;2023;4;15;11?310
Clamoxyl 500mg sp Fl/60ml;2023;5;10;11?310
Amitron 250 sp;2023;3;17;11?352
Litamol 500mg eff b/80;2023;2;40;11?360
Nurabol 4mg sp Ad Fl/125ml;2023;2;11;11?372
Flugen sp;2023;8;13;11?376
Paracetamol  ubigen /100x10;2023;2;200;11?400
Flugen sp;2023;4;13;11?401
Nurabol 4mg sp Ad Fl/125ml;2023;3;11;11?403
Dolamine cp B/20 sans sucre;2023;6;20;11?405
Gentasol collyre;2023;3;17;11?406
Nurabol 4mg cp bte/30;2023;8;11;11?407
Erythromycine 500 creat bte/10 x10;2023;8;10;11?410
Helmintox 250mg cp B/3;2023;2;10;11?430
Klipal 600 cp;2023;9;10;11?430
Cromsol cy;2023;5;17;11?441
Phartrim 200/400 susp buv;2023;8;30;11?460
Panotile gtte aur  ;2023;9;10;11?490
Levothyrox 100 cp B/28;2023;9;10;11?510
Levothyrox 100 cp B/28;2023;4;10;11?510
Neutrocold sirop;2023;4;15;11?520
Naturex sp 100ml;2023;6;10;11?530
Hexidine bain bche f/160ml;2023;1;10;11?535
Securil 1plaq B/28 cp ;2023;5;47;11?540
Orofer sirop ;2023;7;11;11?557
Duphalac sp Fl/200ml;2023;8;10;11?630
Duphalac sp Fl/200ml;2023;2;10;11?635
Cipromed B/10 cp;2023;8;11;11?638
Mentho valda b/12;2023;4;120;11?640
Mayana savon anti acne;2023;3;12;11?652
Efferalgan 250mg  sachet B/12;2023;6;15;11?655
Efferalgan 250mg  sachet B/12;2023;9;15;11?685
Kinal ss aspirine bte 30x6;2023;5;150;11?700
Mayana savon anti acne;2023;8;12;11?700
Mayana savon anti acne;2023;6;12;11?700
Suretest test ovulation b/10;2023;9;20;11?700
Panalgic  cp eff B/16;2023;2;15;11?735
Panadol extra advance 500/65mg cp b/14;2023;3;12;11?736
Mentho valda t/30;2023;7;20;11?740
Trialgic cp;2023;9;10;11?750
Maxidrol cy 5ml;2023;2;10;11?800
Pyrantox sp FL/15ml;2023;5;25;11?810
Roipar 1000 cp eff ;2023;1;15;11?845
Roipar 1000 cp eff ;2023;6;15;11?865
Respibien  gtte nasale FL/15ml;2023;1;12;11?904
Doxy denk 200 cp pell b/8;2023;9;9;11?925
Vermox sp FL/30ml;2023;2;10;11?950
Genta gtte a;2023;5;14;11?953
Appetine 2mg/5ml Fl/100ml;2023;1;17;11?956
Vovgel;2023;2;19;11?956
Fludol P sp;2023;7;12;11?964
Poche ï¿½ urine;2023;4;30;11?970
Volini gel T/30g;2023;4;15;11?985
Vitabact cy FL/10ml;2023;5;15;11?995
Parfum ADN;2023;3;12;12?000
Glucophage 500mg cp B/30;2023;2;15;12?020
Septyl BB fl/200ml;2023;4;10;12?070
Desomedine 0,1% cy Fl/10ml;2023;8;14;12?078
Septyl BB fl/200ml;2023;6;10;12?110
Troycal cp;2023;3;10;12?117
Fezomin C cp B/30;2023;5;10;12?130
Aspirin cardio cp gastro resist bte/30;2023;1;10;12?150
Efferalgan 1g sec;2023;4;15;12?160
Vitavit sp FL/100ml;2023;3;20;12?166
Aspirin cardio cp gastro resist bte/30;2023;6;10;12?180
Efferalgan 1g sec;2023;9;15;12?180
Carbotoux 5% sp adulte;2023;1;16;12?184
Brustan sp FL/100ml;2023;1;15;12?186
Diclo denk 50mg cp bte /20;2023;2;19;12?191
Brustan sp FL/100ml;2023;4;15;12?210
Talodol Pcp 37.5/325mg cp b/10;2023;6;22;12?242
Nauselium 10mg cp b/20;2023;7;10;12?246
Febrilex plus cp plaq/4;2023;2;50;12?250
Maalox sp Fl/250ml;2023;4;10;12?250
Ventesyl sirop;2023;9;9;12?263
Fezomin C cp B/30;2023;4;20;12?270
Securil 1plaq B/28 cp ;2023;4;50;12?280
Ambrolite Gs;2023;2;10;12?300
Ampicilline inj;2023;5;50;12?300
Vogalene 0.4% gtte buv  FL/30ml;2023;5;10;12?310
Ferlix sp f/200ml;2023;4;9;12?317
Ambrolite Gs;2023;1;10;12?319
Ambrolite Gs;2023;9;10;12?327
Ambrolite Gs;2023;8;10;12?329
Primalan sp FI/60ml;2023;6;10;12?340
Fructines vichy 5mg cp ;2023;2;10;12?346
Talodol Pcp 37.5/325mg cp b/10;2023;5;21;12?363
Apramol 500mg cp eff B/16;2023;3;15;12?400
Seringue insuline 1ml.;2023;3;200;12?400
Primalan sp FI/60ml;2023;4;10;12?410
Doliprane 300mg  sachet B/12;2023;2;15;12?420
Imox 500mg cp;2023;5;10;12?425
Clamoxyl 500mg sp Fl/60ml;2023;8;11;12?437
Antalgex T;2023;6;10;12?440
Bande de gaze 10cmx4.5m b/12;2023;8;130;12?480
Imox 500mg cp;2023;4;10;12?480
Naturuy pot 400 g;2023;6;12;12?480
Naturuy pot 400 g;2023;1;12;12?480
Escodyne cpeff  B/10;2023;1;10;12?540
Alzol sirop;2023;1;25;12?545
Pectogen sirop;2023;7;12;12?552
Rinomicine sachets;2023;2;10;12?560
Orofer sirop ;2023;9;12;12?582
Perispam cp bte 10;2023;3;12;12?590
Rinomicine sachets;2023;1;10;12?590
Albendazole ubigen 400mg b/50;2023;7;300;12?600
Vovgel;2023;3;20;12?645
Nidazol 500mg cp B/20;2023;3;12;12?674
Erythromycine 250 creat bte/10 x10;2023;1;20;12?700
Tensoplast 6HB/2.5m;2023;4;30;12?700
Nidazol 500mg cp B/20;2023;4;12;12?718
Ibuprofen 400mg denk plag/10x10 cp;2023;2;40;12?740
Halopara 100mg cp b/8;2023;5;18;12?743
Acfol 5mg cp bte/25;2023;8;10;12?750
Ampicilline inj;2023;1;50;12?750
Chibro300cadron cy Fl/5ml;2023;3;10;12?750
Terpara 500 cp eff b/16;2023;6;20;12?790
Duphalac sp Fl/200ml;2023;5;11;12?799
Drill rhume cp;2023;3;10;12?810
Chibro300cadron cy Fl/5ml;2023;9;10;12?820
Chibro300cadron cy Fl/5ml;2023;7;10;12?820
Drill rhume cp;2023;6;10;12?820
Glucophage 500mg cp B/30;2023;3;16;12?826
Maalox comprimes ;2023;3;13;12?868
Liposic gel oph;2023;8;10;12?890
Desomedine 0,1% cy Fl/10ml;2023;4;15;12?927
Desomedine 0,1% cy Fl/10ml;2023;6;15;12?945
Temerit duo 5mg/25mg ;2023;1;48;12?947
Ciprofloxacine 750 cp UBI b/10x10;2023;1;23;12?976
Brustan sp FL/100ml;2023;5;16;13?015
Flugen cp;2023;3;10;13?020
Serum glucose 5% kabipac;2023;3;20;13?020
Sterdex pde opht capsule B/12;2023;9;15;13?020
Nurabol 2mg sp Enf Fl/125ml;2023;9;13;13?031
Carbigen 5mg cp;2023;5;15;13?035
Flugen cp;2023;9;10;13?040
Efferalgan 1g sec;2023;8;16;13?044
Flugen cp;2023;4;10;13?050
Norflozole sirop;2023;6;10;13?070
Isone 5mg cp B/30;2023;4;15;13?080
Dolamine cp B/20 sans sucre;2023;1;23;13?087
Normet sp Fl/30ml;2023;5;10;13?090
Salbutus sp FL/100ml;2023;3;15;13?105
Novalgin 500mg cp B/20;2023;3;14;13?106
Ketoprofen GH 100mg cp b/30;2023;1;13;13?120
Fumafer 200mg cp B/100 cp;2023;9;10;13?130
Fumafer 200mg cp B/100 cp;2023;1;10;13?130
Fumafer 200mg cp B/100 cp;2023;4;10;13?130
Genpar perf;2023;1;15;13?140
Norvel 72 cp;2023;6;10;13?140
Correctol cy 10ml ;2023;2;20;13?150
Norvel 72 cp;2023;1;10;13?150
Salbutus sp FL/100ml;2023;1;15;13?150
Genacid sirop;2023;6;15;13?155
Genta gtte a;2023;9;15;13?155
Gumforte dentif t/100g;2023;2;9;13?155
Correctol cy 10ml ;2023;1;20;13?170
Pinkoo sp Fl/120ml;2023;4;15;13?180
Salbutus sp FL/100ml;2023;4;15;13?180
Laroscorbine 1g cp eff b/10;2023;3;12;13?188
Boncipro gtte;2023;2;10;13?200
Norflozole sirop;2023;2;10;13?200
Frakidex pde opht T/15g;2023;3;18;13?203
Gel antiseptique main valda fl/ 500ml;2023;4;10;13?220
Dakin cooper fl/250ml;2023;5;14;13?227
Efferalgan 250mg  sachet B/12;2023;1;17;13?235
Talodol Pcp 37.5/325mg cp b/10;2023;9;25;13?240
Laroscorbine 1g cp eff b/10;2023;8;12;13?244
Terzol cp b/1;2023;5;20;13?270
Netazox 500 cp B/6;2023;5;60;13?300
Pyrantox sp FL/15ml;2023;2;10;13?300
Ferfoltone gelu B/30;2023;3;20;13?305
Restriva 500mg cp;2023;7;17;13?318
Flucon cy T/3ml;2023;2;15;13?335
Zing OD 20mg cp disp b/10;2023;8;15;13?335
No300Spa 40mg cp B/20;2023;2;12;13?339
Ibuprofen GH cp b/10x10;2023;1;20;13?340
Flucon cy T/3ml;2023;6;15;13?350
Cetamyl 1g cp;2023;4;20;13?400
No300Spa 40mg cp B/20;2023;8;12;13?416
Silverex creme T/25ml;2023;8;20;13?440
Roipar 1000 cp eff ;2023;4;17;13?447
Flub sup buv 30ml;2023;9;10;13?450
Terpone sp Ad Fl/180ml;2023;8;12;13?464
Litamol 500mg eff b/80;2023;9;82;13?474
Astaph 125mg sirop fl/60ml;2023;9;10;13?480
Faside pde t/15g;2023;2;10;13?480
Maalox sp Fl/250ml;2023;2;11;13?503
Genforte sp;2023;4;17;13?508
Maalox sp Fl/250ml;2023;1;11;13?515
Talodol Pcp 37.5/325mg cp b/10;2023;8;25;13?525
Diclo denk cpr ret 100mg bt/10;2023;4;20;13?540
Deslora denk;2023;2;9;13?564
Chericof sp Fl/100ml;2023;5;15;13?610
Flub sup buv 30ml;2023;1;10;13?640
CAC 1000 orange cp eff B/10;2023;9;10;13?670
Chericof sp Fl/100ml;2023;2;15;13?670
Clofains cp;2023;9;20;13?670
Compresse 30x30;2023;3;20;13?700
Litamol 500mg eff b/80;2023;6;80;13?720
Perispam cp bte 10;2023;1;13;13?734
Faside pde t/15g;2023;3;10;13?750
Betadine rouge scrub Fl/125ml;2023;7;15;13?785
Fercefol cp B/30;2023;3;15;13?785
Efferalgan codeine cp pell b/16;2023;1;10;13?790
Compresse 30x30;2023;1;53;13?800
Seringue insuline 1ml.;2023;1;200;13?800
Nauselium sirop;2023;1;10;13?803
Genset sp;2023;6;20;13?820
Wormin 500mg cp B/1;2023;4;40;13?820
Efferalgan codeine cp eff B/16 sans sucre;2023;2;10;13?825
Amitron 250 sp;2023;5;20;13?840
Efferalgan codeine cp eff B/16 sans sucre;2023;6;10;13?850
Efferalgan 1g sec;2023;1;17;13?872
Flub 100mg gel b/6;2023;3;12;13?874
Sterdex pde opht capsule B/12;2023;1;16;13?888
Sedorrhoide creme;2023;9;9;13?893
T300dol rapid 37,5mg  b/10;2023;9;15;13?905
Hexidine bain bche f/160ml;2023;3;12;13?908
Gastrogel cp B/40 sans sucre;2023;5;20;13?920
Gastrogel cp B/40 sans sucre;2023;9;20;13?920
Flustaph 250 sp ;2023;3;10;14?020
Vermox 100mg cp B/6;2023;5;15;14?020
Vermox 100mg cp B/6;2023;9;15;14?020
Vermox 100mg cp B/6;2023;7;15;14?025
Bactyl collyre;2023;1;20;14?040
Fludol gï¿½lules b/10x10;2023;4;40;14?040
Kinal ss aspirine bte 30x6;2023;4;180;14?040
Combimal cp B/3;2023;6;50;14?050
Flustaph 250 sp ;2023;9;10;14?080
Catgut 3/0;2023;4;60;14?100
Troypanto lp 40 mgb/10;2023;9;10;14?120
Tramapa cp;2023;7;12;14?126
Trialgic cp;2023;1;12;14?130
Alpraz 1mg cp B/14;2023;3;10;14?170
Liposic gel oph;2023;4;11;14?179
Otipax gtte aur Fl/15ml;2023;1;11;14?182
Alpraz 0,5 mg cp B/28;2023;3;10;14?195
Seringue 10ml;2023;6;200;14?200
Seringue insuline 1ml.;2023;8;200;14?200
Novalgin 500mg cp B/20;2023;6;15;14?205
Alpraz 1mg cp B/14;2023;1;10;14?210
Alpraz 1mg cp B/14;2023;5;10;14?210
Alpraz 0,5 mg cp B/28;2023;6;10;14?240
Metronidazole 500mg creat plaq/10 cp;2023;7;40;14?280
Phenobarbital midis 100 mg;2023;5;100;14?300
Combimal cp B/3;2023;4;50;14?350
Flexpar 500mg c b/12;2023;5;37;14?360
Ranferon 12 sp FL/200ml ;2023;1;10;14?362
Rabeloc 20mg cp b/10;2023;1;19;14?372
Fludol gï¿½lules b/10x10;2023;7;41;14?391
Dyldes 5mg b/15;2023;4;11;14?397
Forza cereales alimentaires paquet/24;2023;4;24;14?400
Ascabiol lotion Fl/125 ml;2023;2;10;14?419
Septyl BB fl/200ml;2023;2;12;14?419
Lumfort 10mg b/10;2023;9;10;14?421
Betadine jaune sol dermique Fl/125ml;2023;5;15;14?425
Zing sirop;2023;4;10;14?460
Genforte sp;2023;5;18;14?471
Diclo denk 50mg cp bte /20;2023;6;22;14?476
Troycal cp;2023;4;12;14?533
Septyl BB fl/200ml;2023;3;12;14?556
Fedate gelules;2023;5;10;14?563
Gastrogel cp B/40 sans sucre;2023;8;21;14?616
Diclo denk suppo ;2023;2;9;14?645
Clamoxyl 500mg sp Fl/60ml;2023;1;13;14?693
Talodol Pcp 37.5/325mg cp b/10;2023;2;25;14?695
Gumforte dentif t/100g;2023;5;9;14?703
Serum sale isotonique PNA;2023;3;20;14?760
Genes magnesium comprimï¿½s;2023;9;13;14?775
Ambrolite Gs;2023;5;12;14?796
Fixim 200 cp;2023;6;9;14?832
Dolamine cp B/20 sans sucre;2023;3;26;14?836
Surdex sp Fl/60ml;2023;3;19;14?843
Helmintox 250mg cp B/3;2023;1;13;14?845
Raldol cp;2023;2;20;14?880
Raldol cp;2023;9;20;14?900
Raldol cp;2023;5;20;14?900
Maalox comprimes ;2023;4;15;14?910
Polygynax ovule B/12;2023;9;9;14?922
Brustan cp  B/10;2023;5;17;14?939
Clofains cp;2023;5;22;14?972
Baneocin poudre fl/10g;2023;2;15;15?000
Flucazol 100mg cp B/10;2023;9;10;15?000
Kinafon suppo;2023;2;10;15?000
Klipal 300 cp;2023;6;15;15?000
Alzol sirop;2023;2;30;15?015
Pinkoo sp Fl/120ml;2023;9;17;15?016
Escodyne cpeff  B/10;2023;6;12;15?062
Terzol sirop;2023;1;19;15?063
Escodyne cpeff  B/10;2023;2;12;15?065
Alzol sirop;2023;6;30;15?090
Serum sale isotonique PNA;2023;9;28;15?092
Vovgel;2023;5;24;15?100
Fucidine 2% pde T/15gr;2023;3;10;15?125
Nealgyl cp;2023;1;12;15?129
Fucidine 2% pde T/15gr;2023;6;10;15?150
Tanganil 500mg inj B/5 amp;2023;9;10;15?150
Trialgic cp;2023;5;13;15?150
Actrapid ins;2023;8;10;15?210
Efferalgan codeine cp eff B/16 sans sucre;2023;7;11;15?235
Metformin denk 850mg  cpr b/30;2023;1;13;15?293
Silverex creme T/25ml;2023;2;23;15?306
Actrapid ins;2023;4;10;15?330
Actrapid ins;2023;3;10;15?330
Dolamine cp B/20 sans sucre;2023;2;27;15?397
Dolamine cp B/20 sans sucre;2023;8;27;15?397
Dolex 50 cp;2023;1;14;15?402
Dolamine cp B/20 sans sucre;2023;7;27;15?412
Codoliprane cp B/16;2023;1;13;15?419
Efferalgan 1g sec;2023;5;19;15?420
Zerodol P B/10;2023;4;9;15?466
Boncipro 500mg cp B/20;2023;7;9;15?479
Nurabol 4mg cp bte/30;2023;1;15;15?536
Nurabol 4mg cp bte/30;2023;4;15;15?555
Largactil cp B/30;2023;2;10;15?590
Melonax 7.5 cp;2023;7;10;15?590
Neufer plus sp fl/30ml;2023;7;9;15?592
Zyloric 100mg cpr b/28;2023;4;14;15?595
Bande de gaze labell 3mx7cm p10;2023;4;50;15?600
Largactil cp B/30;2023;6;10;15?600
Phenobarbital midis 100 mg;2023;7;100;15?600
Phenobarbital midis 100 mg;2023;2;100;15?600
Aclav 100/12.5 buv fl/30ml;2023;7;10;15?610
Panalgic  cp eff B/16;2023;6;20;15?640
Panalgic  cp eff B/16;2023;4;20;15?660
Otrivin gtte nasal Ad Fl/10ml;2023;5;14;15?689
Verex cp B/1;2023;5;22;15?691
Gensil sp;2023;8;10;15?740
Gastrogel cp B/40 sans sucre;2023;3;23;15?748
Correctol cy 10ml ;2023;4;24;15?756
Aldomet 250mg cp B/30;2023;3;10;15?800
Norflozole sirop;2023;3;12;15?804
Skilax gtte buv FL/15ml;2023;7;15;15?810
Vit b denk  b1/00 detail;2023;8;30;15?810
Boncipro gtte;2023;5;12;15?849
Phartrim forte 800/160mg  cpr b/10 ;2023;2;15;15?865
Respibien  gtte nasale FL/15ml;2023;2;16;15?876
Cipromed TZ cp B/10;2023;8;12;15?888
Volini gel T/30g;2023;2;20;15?900
Apramol 1g eff;2023;3;20;15?910
Exofene pdre Fl/160g;2023;5;10;15?920
Exofene pdre Fl/160g;2023;4;10;15?970
Exofene pdre Fl/160g;2023;7;10;15?980
Volini gel T/30g;2023;7;20;15?980
Gynospan suppo;2023;1;12;16?047
Glucophage 500mg cp B/30;2023;5;20;16?060
Vogalene 5mg suppo B/10;2023;6;22;16?104
Diclo denk 50mg cp bte /20;2023;1;25;16?106
Metformin denk 500mg BL/3x10;2023;6;20;16?110
Coton 50g;2023;7;50;16?200
Brustan sp FL/100ml;2023;9;20;16?230
Fenapar cp ;2023;7;20;16?260
Peptex 250mg/250mgsup buv f/200ml;2023;1;12;16?296
Vogalene amp inj 1 ml B/10;2023;3;10;16?340
Neurobion cp;2023;8;10;16?350
Neurobion cp;2023;1;10;16?370
Fervex Enf sachet B/8 sans sucre;2023;9;10;16?390
Genta gtte a;2023;4;19;16?393
Spasmotroy 80 cp;2023;6;9;16?416
Correctol cy 10ml ;2023;5;25;16?425
Vitavit sp FL/100ml;2023;2;10;16?446
Vitavit sp FL/100ml;2023;6;10;16?460
Paidoterin sp Fl/100ml;2023;6;10;16?470
Duphaston cp B/10;2023;4;10;16?475
Duphaston cp B/10;2023;9;10;16?490
Duphaston cp B/10;2023;1;10;16?505
Bebe tay;2023;1;16;16?512
Fludol P+ sp 120ml;2023;9;9;16?545
Visceralgine sp FL/150ml ;2023;9;15;16?550
Nauselium sirop;2023;9;12;16?567
Collyre bleue laiter faible cy;2023;4;15;16?575
Efferalgan codeine cp eff B/16 sans sucre;2023;1;12;16?600
Roipar 1000 cp eff ;2023;5;21;16?607
Positon creme T/30g;2023;2;9;16?610
Efferalgan codeine cp eff B/16 sans sucre;2023;8;12;16?620
Sekisan sp FL/120ml;2023;9;9;16?636
Gentasol collyre;2023;1;25;16?647
Ferfoltone gelu B/30;2023;5;25;16?650
Flucogen 500mg;2023;4;15;16?650
Spasfon Lyoc 80mg B/10 sans sucre ;2023;1;10;16?660
Brustan cp  B/10;2023;1;19;16?677
Doliprane 300mg  sachet B/12;2023;4;20;16?680
Betadine jaune sol dermique Fl/125ml;2023;4;17;16?692
Rifamycine chibret cy FL/10ml;2023;5;10;16?696
Gentasol collyre;2023;2;25;16?705
No300Spa 40mg cp B/20;2023;5;15;16?720
Tres orix sp Fl/100ml;2023;1;11;16?730
No300Spa 40mg cp B/20;2023;9;15;16?735
Mixtard insul;2023;4;20;16?740
Tanganil 500mg inj B/5 amp;2023;5;11;16?753
Spasfon Lyoc 80mg B/10 sans sucre ;2023;4;10;16?760
Spasfon Lyoc 80mg B/10 sans sucre ;2023;6;10;16?780
Stimogene sp Fl/200ml;2023;3;10;16?784
Forza cereales alimentaires paquet/24;2023;6;24;16?800
Forza cereales alimentaires paquet/24;2023;5;24;16?800
Paracetamol  ubigen /100x10;2023;3;300;16?800
Stimogene sp Fl/200ml;2023;4;10;16?800
Flustaph 250 sp ;2023;4;12;16?831
Diclowal 100mg suppo B/10;2023;2;10;16?840
Ringer lactat Frï¿½senius Kabipac sol perf 500ml;2023;3;32;16?884
Flustaph 250 sp ;2023;1;12;16?896
Panadol sp Fl/100ml ;2023;9;20;16?900
Wormin 500mg cp B/1;2023;1;49;16?973
Magne B6 cp B/50;2023;8;10;16?990
Magne B6 cp B/50;2023;9;10;16?990
Biofar calcium magnesium cp B/20;2023;8;11;17?006
Nurabol 2mg sp Enf Fl/125ml;2023;7;17;17?045
Novalgin 500mg cp B/20;2023;5;18;17?046
Alpraz 0,5 mg cp B/28;2023;5;12;17?074
Fludol P+ sp 120ml;2023;3;10;17?080
Dolamine cp B/20 sans sucre;2023;4;30;17?100
Sterdex pde opht capsule B/12;2023;2;20;17?120
Alfamox 250mg/5ml pdre susp f/125ml;2023;6;10;17?130
Klipal 600 cp;2023;2;15;17?130
Vovgel;2023;1;27;17?134
Tardyferon 20mg/ml enf/ad sol buv f/90ml;2023;8;10;17?180
Tardyferon 80mg cp B/30;2023;5;39;17?180
Cofantrine ad 80/400mg cp bt/6;2023;9;10;17?190
Dipara B/10 cp;2023;1;40;17?210
Ciprofloxacine 750 cp UBI b/10x10;2023;4;30;17?260
Desomedine 0,1% cy Fl/10ml;2023;7;20;17?260
Fludol sp f/120ml;2023;9;10;17?260
Genset sp;2023;5;25;17?295
Betadine bleue sol gyneco Fl/125ml;2023;6;20;17?360
Flub sup buv 30ml;2023;7;108;17?388
Zing sirop;2023;2;12;17?438
Apetamin sirop;2023;2;10;17?450
Genacid sirop;2023;2;20;17?450
Apetamin sirop;2023;8;10;17?460
Duphalac sp Fl/200ml;2023;1;15;17?465
Lasilix 40mg cp B/30;2023;9;10;17?470
L300mesitran PM T/15g;2023;2;11;17?478
Lasilix 40mg cp B/30;2023;4;10;17?490
Lasilix 40mg cp B/30;2023;8;10;17?490
Neuibu p forte 100/125mg sup f/60ml;2023;8;25;17?525
C300Tri 1g B/amp;2023;3;10;17?550
Fludol gï¿½lules b/10x10;2023;3;50;17?550
Efferalgan 500mg vit c effv b/16;2023;2;20;17?560
Rolicin 500mg cp;2023;2;10;17?560
Trialgic cp;2023;3;15;17?580
Co arinate fdc enf bte 3;2023;7;10;17?640
Laroscorbine 1g cp eff b/10;2023;9;16;17?662
Pinkoo sp Fl/120ml;2023;8;20;17?670
Phenergan 25mg cp B/20;2023;9;32;17?692
Neuheptavit sp f/200ml;2023;8;10;17?705
Neuheptavit sp f/200ml;2023;4;10;17?705
Paracetamol kabi 10mg/ml perf f/50ml;2023;5;10;17?720
Cetamyl 1g cp;2023;1;26;17?729
Amoxi denk 1000mg cp b/10;2023;7;10;17?740
Flucon cy T/3ml;2023;3;20;17?745
Cotrimoxazole ubi 400mg cpr 100bl10;2023;4;100;17?800
Wormin 100mg susp f/30ml;2023;7;15;17?800
Skilax gtte buv FL/15ml;2023;4;17;17?848
Codoliprane cp B/16;2023;9;15;17?850
Roipar plus cp effe b/16;2023;4;17;17?884
Maalox comprimes ;2023;1;18;17?891
Codoliprane cp B/16;2023;4;15;17?895
Haldol 2mg/mlsol buv f/30ml;2023;1;12;17?912
Fucithalmic gel  opht  T/3g;2023;7;10;17?920
Dexorich sp;2023;9;10;17?925
Novalgin 500mg cp B/20;2023;1;19;17?932
Neurobion cp;2023;9;11;17?974
Drill rhume cp;2023;4;14;17?976
Nidazol 500mg cp B/20;2023;2;17;17?981
Nurabol 2mg sp Enf Fl/125ml;2023;5;18;18?020
Liposic gel oph;2023;1;14;18?036
Panadol advence 500mg b/16;2023;7;226;18?048
Roipar plus cp effe b/16;2023;6;17;18?054
Chericof sp Fl/100ml;2023;6;20;18?080
Paidoterin sp Fl/100ml;2023;5;11;18?113
Litamol 500mg eff b/80;2023;5;24;18?114
Feremi cp b/30;2023;8;15;18?165
Vogalene 5mg suppo B/10;2023;1;25;18?219
Fedate gelules;2023;9;10;18?225
Flub sup buv 30ml;2023;5;40;18?230
Aspirin cardio cp gastro resist bte/30;2023;9;15;18?250
Dolamine cp B/20 sans sucre;2023;5;32;18?252
Flagyl 125ml/5ml sup buv /120ml;2023;8;11;18?252
Polygynax ovule B/12;2023;1;11;18?252
Biofar Multi/ 12 vitamine cp effer B/20 sans sucre;2023;1;18;18?270
Biba sirop;2023;3;10;18?275
Biba sirop;2023;6;10;18?290
Tres orix sp Fl/100ml;2023;8;12;18?300
